t;C
0;0.0
30;0
60;2.29545225E-05
150;0.0001977444864
300;0.000236927327449
450;0.000443394661249
600;0.000415401454321
750;0.000556777245681
900;0.000790852975569
1050;0.001319905952064
1350;0.002469225204225
1500;0.001665330878464
1650;0.002385619906081
1800;0.002514061604169
